district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Kazungula,2024-01-01,1,2024,0,5
Kazungula,2025-01-01,1,2025,0,15
Kitwe,2021-01-01,1,2021,0,147
Kitwe,2022-01-01,1,2022,0,206
Kitwe,2023-01-01,1,2023,0,307
Kitwe,2024-01-01,1,2024,0,284
Kitwe,2025-01-01,1,2025,0,295
Lavushimanda,2021-01-01,1,2021,0,298
Lavushimanda,2022-01-01,1,2022,0,258
Lavushimanda,2023-01-01,1,2023,0,429
Lavushimanda,2024-01-01,1,2024,0,591
Lavushimanda,2025-01-01,1,2025,0,444
Limulunga,2021-01-01,1,2021,0,770
Limulunga,2022-01-01,1,2022,0,761
Limulunga,2023-01-01,1,2023,0,781
Limulunga,2024-01-01,1,2024,0,320
Limulunga,2025-01-01,1,2025,0,646
Livingstone,2021-01-01,1,2021,0,5
Livingstone,2022-01-01,1,2022,0,7
Livingstone,2023-01-01,1,2023,0,10
Livingstone,2024-01-01,1,2024,0,4
Livingstone,2025-01-01,1,2025,0,9
Luampa,2021-01-01,1,2021,0,1430
Luampa,2022-01-01,1,2022,0,1116
Luampa,2023-01-01,1,2023,0,1416
Luampa,2024-01-01,1,2024,0,802
Luampa,2025-01-01,1,2025,0,1642
Luangwa,2021-01-01,1,2021,0,235
Luangwa,2022-01-01,1,2022,0,157
Luangwa,2023-01-01,1,2023,0,267
Luangwa,2024-01-01,1,2024,0,93
Luangwa,2025-01-01,1,2025,0,295
Luano,2021-01-01,1,2021,0,581
Luano,2022-01-01,1,2022,0,428
Luano,2023-01-01,1,2023,0,830
Luano,2024-01-01,1,2024,0,523
Luano,2025-01-01,1,2025,0,609
Luanshya,2021-01-01,1,2021,0,561
Luanshya,2022-01-01,1,2022,0,511
Luanshya,2023-01-01,1,2023,0,737
Luanshya,2024-01-01,1,2024,0,607
Luanshya,2025-01-01,1,2025,0,640
Lufwanyama,2021-01-01,1,2021,0,934
Lufwanyama,2022-01-01,1,2022,0,721
Lufwanyama,2023-01-01,1,2023,0,1381
Lufwanyama,2024-01-01,1,2024,0,1067
Lufwanyama,2025-01-01,1,2025,0,740
Lukulu,2021-01-01,1,2021,0,1043
Lukulu,2022-01-01,1,2022,0,1004
Lukulu,2023-01-01,1,2023,0,918
Lukulu,2024-01-01,1,2024,0,605
Lukulu,2025-01-01,1,2025,0,835
Lumezi,2021-01-01,1,2021,0,711
Lumezi,2022-01-01,1,2022,0,252
Lumezi,2023-01-01,1,2023,0,431
Lumezi,2024-01-01,1,2024,0,625
Lumezi,2025-01-01,1,2025,0,593
Lundazi,2021-01-01,1,2021,0,290
Lundazi,2022-01-01,1,2022,0,160
Lundazi,2023-01-01,1,2023,0,248
Lundazi,2024-01-01,1,2024,0,429
Lundazi,2025-01-01,1,2025,0,458
Lunga,2021-01-01,1,2021,0,330
Lunga,2022-01-01,1,2022,0,265
Lunga,2023-01-01,1,2023,0,418
Lunga,2024-01-01,1,2024,0,369
Lunga,2025-01-01,1,2025,0,332
Lunte,2021-01-01,1,2021,0,462
Lunte,2022-01-01,1,2022,0,613
Lunte,2023-01-01,1,2023,0,677
Lunte,2024-01-01,1,2024,0,434
Lunte,2025-01-01,1,2025,0,318
Lupososhi,2021-01-01,1,2021,0,440
Lupososhi,2022-01-01,1,2022,0,403
Lupososhi,2023-01-01,1,2023,0,570
Lupososhi,2024-01-01,1,2024,0,538
Lupososhi,2025-01-01,1,2025,0,397
Lusaka,2021-01-01,1,2021,0,10
Lusaka,2022-01-01,1,2022,0,7
Lusaka,2023-01-01,1,2023,0,10
Lusaka,2024-01-01,1,2024,0,9
Lusaka,2025-01-01,1,2025,0,10
Lusangazi,2021-01-01,1,2021,0,293
Lusangazi,2022-01-01,1,2022,0,110
Lusangazi,2023-01-01,1,2023,0,182
Lusangazi,2024-01-01,1,2024,0,180
Lusangazi,2025-01-01,1,2025,0,279
Luwingu,2021-01-01,1,2021,0,535
Luwingu,2022-01-01,1,2022,0,618
Luwingu,2023-01-01,1,2023,0,798
Luwingu,2024-01-01,1,2024,0,733
Luwingu,2025-01-01,1,2025,0,650
Mafinga,2021-01-01,1,2021,0,544
Mafinga,2022-01-01,1,2022,0,558
Mafinga,2023-01-01,1,2023,0,887
Mafinga,2024-01-01,1,2024,0,876
Mafinga,2025-01-01,1,2025,0,745
